category_key,category_name,root_category_name
352,Boys Pajama Sets,Clothing
353,Black Scrubs,Clothing
354,No Pull Dog Harnesses,Pets
355,Wedge Heels,Clothing
356,Child Life Jackets,Sports & Outdoors
357,Shop All Slow Cookers,Home
358,Gold Earrings,Jewelry
359,Juniors Activewear,Clothing
360,Young Adult Clothing,Clothing
361,Plus Size Tunic Tops,Clothing
362,Pantry staples,Food
363,Womens Denim Overalls,Clothing
364,3 Piece Patio Dining Set,Patio & Garden
365,Womens Slides,Clothing
366,Flat Sheets,Home
367,Womens Footbed Sandals,Clothing
368,Girls Skirts and Scooters,Clothing
369,Princess Baby & Toddler Costumes,Party & Occasions
370,Aveeno Hair Care,Beauty
371,Bathroom Sets,Home
372,Boys Athletic Shorts and Pants,Clothing
373,Mens Work Coveralls,Clothing
374,Shop Bedding,Home
375,Socks,Clothing
376,Orthopedic Dog Beds,Pets
377,Baby Girls Swimsuit Cover-ups,Clothing
378,Womens Workwear Skirts,Clothing
379,Outdoor Chaise Lounges,Patio & Garden
380,Bath Towels,Home
381,Liquid Foundation,Beauty
382,Memory Foam Mattresses,Home
383,Jockey Panties,Clothing
384,Condensed soup,Food
385,Workout Tank Tops,Clothing
386,DreamBone,Pets
387,Mens Walking Shoes,Clothing
388,Juniors Blouses & Shirts,Clothing
389,Hand Creams,Personal Care
390,Hot Cereal & Grits,Food
391,High Support,Clothing
392,Plaid Pajamas,Clothing
393,Plus Size T-Shirt Bras,Clothing
394,Scrub Tops,Clothing
395,Mens Shoes,Clothing
396,Beach Towels,Home
397,Dr Teal's Bubble Bath,Personal Care
398,Propane Gas Grills,Patio & Garden
399,Outdoor Dog Beds,Pets
400,All Dog Kennels,Pets
401,Boys Tshirts,Clothing
402,Mens Body Wash,Personal Care
403,Womens Thermal Underwear,Clothing
404,Girls Rompers,Clothing
405,Girls Pajama Sets,Clothing
406,Canopies,Sports & Outdoors
407,Air Car Seat Cushions,Auto & Tires
408,Mattress Pads,Home
409,Cat Litter Mats,Pets
410,Gender Neutral Newborn Baby Clothing,Clothing
411,Reebok Mens Shoes,Clothing
412,New in peanut butter and spreads,Food
413,All Conditioner,Beauty
414,Womens Bucket Hats,Clothing
415,Beige Paint,Home Improvement
416,Kitchen Rugs,Home
417,Baby Girls Bodysuits,Clothing
418,Toddler Girls Casual Dresses,Clothing
419,Womens Sneakers,Clothing
420,Womens Button Down Shirts,Clothing
421,Plus Size Loungewear,Clothing
422,Men's Multivitamins,Health and Medicine
423,Mini Dresses,Clothing
424,Bed Pillows,Home
425,Deep Conditioner,Beauty
426,Wood Sheds,Patio & Garden
427,All American Crew,Premium Beauty
428,Mens Cardigans and Zip-up Sweaters,Clothing
429,Clearance Outdoor Cooking,Patio & Garden
430,Fruit of the Loom Boxer Briefs,Clothing
431,Tennis Skirts,Sports & Outdoors
432,Character Bedding,Home
433,Platform Beds,Home
434,Only at Walmart Diet and Lifestyle,Food
435,Retractable baby gates,Baby
436,Electronics,
437,Clothing,
438,Beauty,
439,Home,
