product_id,product_name,brand,price,initial_price,discount,review_count,rating,category_name,root_category_name,available_for_delivery,available_for_pickup,source_product_id,source
PROD_2b2eab07b9,ANYJOIN Women's Summer Casual T Shirt Dresses Short Sleeve Swing Dress Pockets 3XL,ANYJOIN,20.0,32.89,12.9,3688,4.5,Plus Size Dresses,Clothing,True,False,5741991357,walmart
PROD_24c94b76b4,"Full Size Tailored Drop Ruffled Solid Bed Skirt with Adjustable Elastic Belt Microfiber Fabric Fade & Wrinkle Resistant Bed Frame Cover Easy to Fit & Care (10 Inch Drop, Burgundy)",Dee's Collection,28.8,31.99,3.2,1,1.0,Toddler Bedding Sets & Sheets,Baby,True,False,1113666022,walmart
PROD_b82d7a7943,"Wallflower Girls Denim Skirt, Sizes 7-16",Wallflower,9.98,14.98,5.0,6,5.0,Girls Skirts and Scooters,Clothing,True,False,5459864163,walmart
PROD_dda44727c3,Phenas Mirabel Costume Dress For Girls Cosplay Isabela Madrigal Princess Halloween Dress Up,Phenas,9.99,14.99,5.0,1,5.0,Princess Baby & Toddler Costumes,Party & Occasions,True,False,833969367,walmart
PROD_a26443f14c,TheLovely Women & Plus Relaxed Fit Long Sleeve Round Neck & Hem Jersey Tee Shirt Top,TheLovely,17.1,18.99,1.9,14,4.4,Womens Workwear Blouses,Clothing,True,False,907995515,walmart
PROD_393e337252,Rose Water & Chamomile Conditioner for Dry Hair,Aveeno,12.0,14.0,2.01,233,4.6,Aveeno Hair Care,Beauty,True,False,536849814,walmart
PROD_153d91f168,LifeStride Womens I-Loyal Ballet Flats - Various Widths Available,LifeStride,45.0,49.99,5.0,305,4.4,Ballet Flats,Clothing,True,False,305077069,walmart
PROD_283ada1071,Amay 800TC Organic Cotton King Size Fitted Sheet ( 76X80 ) Fits Mattress Upto 10-12 inches Sage Stripe,Amay's,51.3,57.0,5.7,1,5.0,Cooling Sheets,Home,True,False,2335720771,walmart
PROD_b45e9ffd2c,Fantaslook Tank Tops for Women Pleated Square Neck Sleeveless Summer Tops Curved Hem Flowy Shirts,Fantaslook,14.0,32.99,19.0,1302,4.7,Plus Size Tops,Clothing,True,False,5323811559,walmart
PROD_8b0728fc5c,"Luxury Linen Turkish Hand Towels for Bathroom Set of 2, Diamond Weave Soft Cotton, 16 x 40 Inches Decorative Peshtemal-Pack of 2, Turquoise",Streamlight,13.0,17.99,5.0,44,4.6,Bathroom Sets,Home,True,False,372849596,walmart
PROD_c221e00d29,EnJoCho Toddler Children Boys Pull On Shorts Kids Summer Solid Color Elastic Waist Sports Jogger Workout Cargo Pants Shorts Kids Casual Sports Daily Wear Clothes,Enjocho,4.44,5.05,0.61,1,1.0,Boys Athletic Shorts and Pants,Clothing,True,False,5784496986,walmart
PROD_cb1ac7536e,Jessica London Women's Plus Size Elastic Waist Cotton Flowing Maxi Crinkled Skirt,Jessica London,52.7,60.87,8.18,1033,4.6,Womens Plus Skirts,Clothing,True,False,5263061917,walmart
PROD_68282e08b7,"Natural Uniforms Short Sleeve Coverall 399 ( Navy, Medium )",Natural Uniforms,35.0,38.95,4.0,30,4.0,Mens Work Coveralls,Clothing,True,False,142460087,walmart
PROD_fcd8de5539,"Shilucheng Cooling 3 Piece Luxury Bed Sheets Set, 1800 Series Microfiber Bed Sheets, 16"" Deep Pocket, Twin, Beige",Shilucheng,21.6,30.99,9.4,305,4.5,Cooling Sheets,Home,True,False,2546499171,walmart
PROD_802f63eac3,DREAM PAIRS Women's Open Toe Ankle Strap Casual Flatform Platform Sandals REED-1 GOLD size 10,Dream Pairs,29.0,40.99,12.0,174,4.6,Wedges,Clothing,True,False,375469856,walmart
PROD_226f97a221,"Pntutb Ladies Clearance Clothes,Autumn Winter Pullover Print Round Neck Hooded Sweatshirt",PNTUTB,7.49,8.49,1.0,1,1.0,Womens Hoodies,Clothing,True,False,334694770,walmart
