final_price,available_for_delivery,available_for_pickup,brand,review_count,product_id,product_name,category_name,root_category_name,rating,initial_price,discount
15.0,True,False,The Little Mermaid,9,781490570,Men's The Little Mermaid Vintage Characters  Graphic Tee Turquoise Medium,Men's Disney Tees,Clothing,5,18.99,4.0
15.0,True,False,Aiyino,2,1341833689,Aiyino Women's High Waist Yoga Pants Tummy Control Slimming Booty Leggings Workout Running Butt Lift Tights,Womens Workout Bottoms,Clothing,3,16.99,2.0
20.0,True,False,Jockey,86,3813188391,Jockey Women's Rib Knit Tee,Tshirts for Women,Clothing,4,34.0,14.01
65.0,True,False,Bare Home,483,5292666872,"Bare Home Cozy Fleece Sheet Set - Extra Plush Polar Fleece - Deep Pocket - Split King, Black",Colored Sheets,Home,4.8,77.99,13.0
11.9,True,False,Zenana,131,1897403279,Zenana Womens & Plus Stretch Cotton Foldover Waist Bootcut Workout Yoga Pants,Cycling Pants,Sports & Outdoors,3.7,17.99,6.1
16.0,True,False,SONGMICS,58,2138573500,SONGMICS 3-Tier Shoe Rack with Shelves for Closet Entryway Black,Shoe Racks,Home,4.4,39.99,24.0
14.0,True,False,MOSHU,1667,5219131585,MOSHU Summer Womens Tank Tops U Neck Casual Flowy Sleeveless Shirts for Women,Womens Tank Tops,Clothing,4.5,35.99,22.0
23.9,True,False,G-Style USA,1,871530694,Victorious Men's Skinny Fit Unwashed Raw Denim Jeans DL938 - Indigo - 32/30,Mens Slim Fit Jeans,Clothing,5,26.95,3.02
22.1,True,False,Deerlux,8,891036133,"16"" Handwoven Cotton Throw Pillow Cover with Tufted designs and Side Tassels",Throw Pillow Covers,Home,4.4,27.25,5.16
30.0,True,False,X Ray Jeans,1,1774083175,"X RAY JEANS Mens Five Pocket Commuter Pants, Fig, 34X32",Mens Jeans,Clothing,5,34.99,5.0
26.0,True,False,Exclusivo Mezcla,64,1093743201,"Exclusivo Mezcla Waffle Textured Soft Fleece Blanket, King Size Bed Blanket, Cozy Warm and Lightweight (Dark Grey, 90x104 inches)",Bed Blankets,Home,4.5,55.98,29.99
30.0,True,False,Anastasia Confections,575,411359040,Anastasia Beverly Hills Norvina PRO Pigment Eyeshadow Palette Vol 3,All Makeup,Beauty,4.8,34.0,4.0
57.6,True,False,Amay's,4,1612728569,"Amay 800TC Organic Cotton Twin XL Size Fitted Sheet ( 39X80 ) Fits Mattress Upto 21 inches Deep Pocket, Ivory Solid",Cooling Sheets,Home,5,64.0,6.4
20.0,True,False,Larace,31,2150292673,LARACE Women's Plus Size Tops 3/4 Sleeve Tunic Shirts Casual Button V-neck Blouse Black 4X,Plus Size Tops,Clothing,4.8,23.99,4.01
0.99,True,False,ITSUN,3,1507001378,"FY24 Valentine's Day Holiday Deals! itsun Lingerie Sets for Women Sexy Plus Size, Women Sexy Lace Lingerie Set Strappy Bra and Panty Set Two Piece Crotchless Lingerie White",Lingerie Sets,Clothing,1.3,1.58,0.59
44.0,True,False,Rest Haven,74,293084792,"Rest Haven Upholstered Square Tufted Headboard, Full, Charcoal",Upholstered Headboards,Home,4.5,135.0,91.0
20.0,True,False,Larace,231,5041920521,LARACE Women's Tops Long Sleeve Dressy Casual Plus Size Tunic Tops to Wear with Leggings Loose T-Shirt Loose Fit Blouses NavyBlue 1X,Plus Size Tops,Clothing,4.7,26.99,7.01
240.0,True,False,AUSTUFF,14,2834781358,"AUSTUFF Swivel Bar Stools Set of 2 Velvet Barstools for Kitchen Island (30"", Blue)",Shop All Bar Stools & Counter Stools,Home,4.4,562.99,323.0
